File Name,Extracted Name,Effective Year,Effective Month
ALLIANCEBERNSTEIN FUNDS_2011_AUGUST_US_1.pdf,ALLIANCEBERNSTEIN FUNDS,2011,AUGUST
ALLIANCEBERNSTEIN FUNDS_2011_AUGUST_US_2.pdf,ALLIANCEBERNSTEIN FUNDS,2011,AUGUST
ALLIANCEBERNSTEIN FUNDS_2011_AUGUST_US.pdf,ALLIANCEBERNSTEIN FUNDS,2011,AUGUST
ALLIANCEBERNSTEIN FUNDS_2015_SEPTEMBER_US_1.pdf,ALLIANCEBERNSTEIN FUNDS,2015,SEPTEMBER
ALLIANCEBERNSTEIN FUNDS_2015_SEPTEMBER_US.pdf,ALLIANCEBERNSTEIN FUNDS,2015,SEPTEMBER
"ALLIANCEBERNSTEIN INVESTOR SERVICES, INC._NILL_NILL_US.pdf","ALLIANCEBERNSTEIN INVESTOR SERVICES, INC.",NILL,NILL
ALLIANCEBERNSTEIN MULTI -MANAGER_NILL_NILL_US.pdf,ALLIANCEBERNSTEIN MULTI -MANAGER,NILL,NILL
ALLIANCEBERNSTEIN_NILL_NILL_US_1.pdf,ALLIANCEBERNSTEIN,NILL,NILL
ALLIANCEBERNSTEIN_NILL_NILL_US.pdf,ALLIANCEBERNSTEIN,NILL,NILL
ALLIANCEBERNSTEIN SUB-ADVISED ALTERNATIVE INVESTMENT FUNDS_2014_AUGUST_US_1.pdf,ALLIANCEBERNSTEIN SUB-ADVISED ALTERNATIVE INVESTMENT FUNDS,2014,AUGUST
ALLIANCEBERNSTEIN SUB-ADVISED ALTERNATIVE INVESTMENT FUNDS_2014_AUGUST_US_2.pdf,ALLIANCEBERNSTEIN SUB-ADVISED ALTERNATIVE INVESTMENT FUNDS,2014,AUGUST
ALLIANCEBERNSTEIN SUB-ADVISED ALTERNATIVE INVESTMENT FUNDS_2014_AUGUST_US_3.pdf,ALLIANCEBERNSTEIN SUB-ADVISED ALTERNATIVE INVESTMENT FUNDS,2014,AUGUST
ALLIANCEBERNSTEIN SUB-ADVISED ALTERNATIVE INVESTMENT FUNDS_2014_AUGUST_US_4.pdf,ALLIANCEBERNSTEIN SUB-ADVISED ALTERNATIVE INVESTMENT FUNDS,2014,AUGUST
ALLIANCEBERNSTEIN SUB-ADVISED ALTERNATIVE INVESTMENT FUNDS_2014_AUGUST_US_5.pdf,ALLIANCEBERNSTEIN SUB-ADVISED ALTERNATIVE INVESTMENT FUNDS,2014,AUGUST
GOLDMAN SACHS _2017_AUGUST_US.pdf,GOLDMAN SACHS ,2017,AUGUST
ALLIANCEBERNSTEIN SUB-ADVISED ALTERNATIVE INVESTMENT FUNDS_2014_AUGUST_US_6.pdf,ALLIANCEBERNSTEIN SUB-ADVISED ALTERNATIVE INVESTMENT FUNDS,2014,AUGUST
ALLIANCEBERNSTEIN SUB-ADVISED ALTERNATIVE INVESTMENT FUNDS_2014_AUGUST_US.pdf,ALLIANCEBERNSTEIN SUB-ADVISED ALTERNATIVE INVESTMENT FUNDS,2014,AUGUST
AXA INVESTMENT MANAGERS INC._2015_JANUARY_US.pdf,AXA INVESTMENT MANAGERS INC.,2015,JANUARY
AXA INVESTMENT MANAGERS INC._NILL_NILL_US.pdf,AXA INVESTMENT MANAGERS INC.,NILL,NILL
AXA PRIVATE EQUITY_NILL_DECEMBER_US.pdf,AXA PRIVATE EQUITY,NILL,DECEMBER
AXA PRIVATE EQUITY_NILL_SEPTEMBER_US.pdf,AXA PRIVATE EQUITY,NILL,SEPTEMBER
BANCO SANTANDER PUERTO RICO_2005_JANUARY_US.pdf,BANCO SANTANDER PUERTO RICO,2005,JANUARY
"GOLDMAN SACHS ASSET MANAGEMENT, L.P_NILL_NILL_US.pdf","GOLDMAN SACHS ASSET MANAGEMENT, L.P",NILL,NILL
"GOLDMAN SACHS ASSET MANAGEMENT, LP_NILL_NILL_US.pdf","GOLDMAN SACHS ASSET MANAGEMENT, LP",NILL,NILL
GOLDMAN SACHS ASSET MANAGEMENT_NILL_NILL_US.pdf,GOLDMAN SACHS ASSET MANAGEMENT,NILL,NILL
"GOLDMAN SACHS ASSET MANAGEMENT STABLE VALUE FUNDS, LLC_2014_SEPTEMBER_US.pdf","GOLDMAN SACHS ASSET MANAGEMENT STABLE VALUE FUNDS, LLC",2014,SEPTEMBER
GOLDMAN SACHS COLLECTIVE TRUST FUNDS_2014_SEPTEMBER_US.pdf,GOLDMAN SACHS COLLECTIVE TRUST FUNDS,2014,SEPTEMBER
GOLDMAN SACHS_NILL_NILL_US.pdf,GOLDMAN SACHS,NILL,NILL
GOLDMAN SACHS PRIVATE MIDDLE MARKET CREDIT LLC_NILL_NILL_US.pdf,GOLDMAN SACHS PRIVATE MIDDLE MARKET CREDIT LLC,NILL,NILL
MFS_NILL_NILL_US.pdf,MFS,NILL,NILL
GOLDMAN SACHS TRUST_2009_APRIL_US.pdf,GOLDMAN SACHS TRUST,2009,APRIL
GOLDMAN SACHS TRUST_2014_SEPTEMBER_US.pdf,GOLDMAN SACHS TRUST,2014,SEPTEMBER
GOLDMAN SACHS TRUST II_2013_APRIL_US.pdf,GOLDMAN SACHS TRUST II,2013,APRIL
GOLDMAN SACHS TRUST II_2015_JANUARY_US.pdf,GOLDMAN SACHS TRUST II,2015,JANUARY
DEUTSCHE ASSET MANAGEMENT_2008_APRIL_US_1.pdf,DEUTSCHE ASSET MANAGEMENT,2008,APRIL
DEUTSCHE ASSET MANAGEMENT_2008_APRIL_US_2.pdf,DEUTSCHE ASSET MANAGEMENT,2008,APRIL
DEUTSCHE ASSET MANAGEMENT_2008_APRIL_US.pdf,DEUTSCHE ASSET MANAGEMENT,2008,APRIL
DEUTSCHE ASSET MANAGEMENT_2009_FEBRUARY_US.pdf,DEUTSCHE ASSET MANAGEMENT,2009,FEBRUARY
DEUTSCHE BANK AG_2007_AUGUST_US.pdf,DEUTSCHE BANK AG,2007,AUGUST
"DEUTSCHE BANK AG, FRANKFURT_2013_JUNE_US.pdf","DEUTSCHE BANK AG, FRANKFURT",2013,JUNE
"DEUTSCHE BANK AG, FRANKFURT_NILL_NILL_US.pdf","DEUTSCHE BANK AG, FRANKFURT",NILL,NILL
DEUTSCHE BANK AG_NILL_NILL_US.pdf,DEUTSCHE BANK AG,NILL,NILL
DEUTSCHE BANK BARCELONA_NILL_NILL_US.pdf,DEUTSCHE BANK BARCELONA,NILL,NILL
DEUTSCHE BANK BRANCH MONEY MARKET DESK_NILL_NILL_US.pdf,DEUTSCHE BANK BRANCH MONEY MARKET DESK,NILL,NILL
DEUTSCHE BANK_NILL_NILL_US_1.pdf,DEUTSCHE BANK,NILL,NILL
DEUTSCHE BANK_NILL_NILL_US.pdf,DEUTSCHE BANK,NILL,NILL
DEUTSCHE BANK PRIVATE EQUITY_NILL_NILL_US_1.pdf,DEUTSCHE BANK PRIVATE EQUITY,NILL,NILL
DEUTSCHE BANK TRUST COMPANY_NILL_NILL_US.pdf,DEUTSCHE BANK TRUST COMPANY,NILL,NILL
DEUTSCHE BANK PRIVATE EQUITY_NILL_NILL_US.pdf,DEUTSCHE BANK PRIVATE EQUITY,NILL,NILL
DEUTSCHE BANK PRIVATE EQUITY SELECT TRUST I_2004_JULY_US_1.pdf,DEUTSCHE BANK PRIVATE EQUITY SELECT TRUST I,2004,JULY
DEUTSCHE BANK PRIVATE EQUITY SELECT TRUST I_2004_JULY_US_2.pdf,DEUTSCHE BANK PRIVATE EQUITY SELECT TRUST I,2004,JULY
